year,month,ALCH,ANIM,ASST,BURG,HOMD,MOTR,MVTF,ROBB,THEF,VAND,WCCR
2016,1,22,0,18,50,0,21,645,26,92,43,7
2016,2,20,0,16,47,1,8,499,28,88,35,7
2016,3,25,1,18,34,3,7,510,10,82,27,8
2016,4,25,1,25,30,0,10,602,16,89,41,4
2016,5,30,3,30,39,0,12,667,23,94,38,9
2016,6,36,2,19,37,0,14,619,18,103,34,11
2016,7,27,1,21,39,1,10,657,23,88,46,3
2016,8,16,2,23,32,2,14,603,28,77,34,7
2016,9,12,1,23,40,0,6,585,13,83,33,2
2016,10,18,1,27,45,2,13,637,21,106,39,11
2016,11,13,1,14,46,0,9,578,20,87,34,12
2016,12,15,0,22,48,0,16,568,22,104,37,5
2017,1,13,0,24,44,0,10,793,27,79,27,6
2017,2,8,3,23,41,0,8,484,18,63,30,4
2017,3,19,2,33,39,0,9,574,14,75,37,9
2017,4,6,4,25,42,0,10,610,25,63,37,4
2017,5,9,7,49,77,1,19,579,11,212,61,33
2017,6,9,3,46,114,0,10,620,20,212,73,36
2017,7,18,1,44,47,0,10,592,19,99,45,14
2017,8,14,0,20,25,1,4,652,36,78,41,4
2017,9,8,2,37,26,1,12,565,21,75,26,5
2017,10,13,2,33,46,0,4,651,33,103,35,12
2017,11,6,1,32,24,1,7,658,24,92,25,5
2017,12,9,0,23,33,0,7,651,14,90,22,4
2018,1,21,0,27,30,0,17,750,14,81,27,10
2018,2,48,6,40,87,0,23,625,42,173,70,11
2018,3,15,5,19,40,0,7,706,9,56,17,11
2018,4,17,0,28,45,0,12,632,25,66,20,7
2018,5,16,0,27,43,1,10,793,37,92,31,5
2018,6,22,5,30,50,1,8,810,8,87,20,8
2018,7,11,1,25,21,0,9,827,8,82,30,6
2018,8,25,1,21,20,0,10,887,8,80,28,9
2018,9,13,1,30,23,0,10,879,17,78,23,12
2018,10,23,2,27,25,2,13,870,13,94,18,9
2018,11,98,5,26,20,1,9,936,16,90,20,8
2018,12,94,2,25,30,1,12,959,9,86,28,8
2019,1,77,5,19,21,0,21,934,13,99,27,12
2019,2,98,0,26,25,0,22,876,11,67,15,9
2019,3,93,2,35,29,0,25,933,9,98,29,9
2019,4,89,6,24,29,0,20,870,15,71,11,13
2019,5,93,2,44,12,1,19,931,10,92,28,12
2019,6,66,3,36,26,0,19,986,14,123,31,11
2019,7,61,3,38,47,1,17,1052,25,129,30,4
2019,8,35,1,47,25,1,9,1025,9,110,26,12
2019,9,36,1,39,20,0,19,948,13,115,22,12
2019,10,24,3,43,15,0,15,1005,13,154,40,15
2019,11,26,2,42,30,3,15,927,19,118,24,13
2019,12,17,1,44,30,0,15,1079,13,132,33,10
2020,1,30,0,29,29,0,8,1275,9,120,17,3
2020,2,39,0,31,22,2,18,992,10,112,19,6
2020,3,20,0,35,26,0,7,997,10,112,21,7
2020,4,54,0,44,16,0,14,921,3,111,30,1
2020,5,71,5,31,25,0,38,836,6,120,38,4
2020,6,54,1,47,17,0,17,1027,12,118,44,7
2020,7,66,5,51,18,0,17,1075,8,133,46,12
2020,8,72,4,40,31,0,20,1169,8,145,34,11
2020,9,85,3,53,11,0,19,1119,8,128,39,14
2020,10,72,5,47,21,2,12,1183,24,163,28,10
2020,11,48,7,52,33,0,19,1057,15,126,42,18
2020,12,22,1,38,37,1,10,1065,15,145,36,13
2021,1,60,0,54,67,0,18,1053,32,161,32,15
2021,2,56,1,59,27,0,18,904,43,133,42,16
2021,3,97,3,94,46,1,21,986,41,157,49,14
2021,4,111,19,102,45,1,29,1035,40,273,68,29
2021,5,153,3,127,49,0,41,1157,60,230,70,35
2021,6,154,10,155,102,5,123,1305,75,421,234,38
2021,7,175,9,582,387,5,209,1341,132,1388,585,76
